rank,ticker,company,sector,score,sufficient_data,coverage,coverage_max,weight_coverage,revenue_cagr,revenue_yoy,revenue_years,gross_margin,gross_margin_trend,operating_margin,operating_margin_trend,roe,roic,debt_to_equity,share_change,net_income_latest,revenue_latest,shares_latest,exclude_reason,cik,score__revenue_cagr,score__revenue_yoy,score__gross_margin,score__gross_margin_trend,score__operating_margin,score__operating_margin_trend,score__roe,score__roic,score__debt_to_equity,score__share_change,bucket__growth,bucket__quality,bucket__balance
1,MEDP,Medpace,Health Care,87.43348805157687,True,7,10,1.0,0.22032470377867552,0.19970090855900313,19,,,0.21141720489093105,0.18084189569841333,0.9826867739412858,,0.0,-0.013873128973012405,451123000.0,2530234000,28370780.0,,0001668397,87.19723183391004,85.56701030927834,,,82.83582089552239,87.5,100.0,,96.85039370078741,74.0072202166065,86.38212107159418,90.11194029850746,85.42880695869695
2,DUOL,Duolingo,Consumer Discretionary,86.24631520262338,True,8,10,0.8,0.4503246102127074,0.38710656342577243,6,0.7223062310799363,0.006710297970892176,0.13065867120796384,0.22967781824932543,0.30739655205693217,0.34479857831348576,,,414065000.0,1037589000,12794000.0,,0001562088,97.57785467128028,92.78350515463917,90.14778325123153,19.5,55.970149253731336,90.53030303030303,91.0394265232975,95.11278195488721,,,95.18067991295973,73.71674066890844,
3,NXT,Nextpower,Industrials,83.5174644961547,True,9,10,1.0,0.2438176032031829,0.20282292797674506,6,0.32592522876110797,0.13189904813637612,0.19589480219925323,0.06330133790424905,0.2509783040331186,0.4444334410987066,0.0,,585883000.0,3559390000,62053870.0,,0001852131,91.00346020761245,86.25429553264605,43.34975369458128,51.0,77.98507462686567,56.439393939393945,83.15412186379928,98.1203007518797,96.85039370078741,,88.62887787012926,68.3414408127533,96.85039370078741
4,VAL,Valaris,Energy,82.24527857419555,True,6,10,1.0,0.42220185627748985,0.23958333333333326,6,,,,,0.31007067137809186,0.10306602483452765,0.3426299848561333,-0.027336203548347315,982800000.0,11900000,69200000.0,,0000314808,97.23183391003461,89.3470790378007,,,,,91.39784946236558,48.49624060150376,66.14173228346456,87.72563176895306,93.28945647391765,69.94704503193466,76.93368202620881
5,APPF,AppFolio,Information Technology,80.2244143567406,True,8,10,1.0,0.27659977905518174,0.19720423771282358,10,,,0.16082610625332608,0.24059993990551481,0.2597280764644411,0.2501194235041523,0.0873144740212946,0.054658004428296714,140923000.0,950822000,36327000.0,,0001433195,92.73356401384083,84.87972508591065,,,68.28358208955224,91.28787878787878,84.94623655913979,88.34586466165413,86.22047244094489,24.187725631768956,88.80664454987574,83.21589052455624,55.20409903635692
6,PCTY,Paylocity,Industrials,79.5137830754351,True,10,10,1.0,0.2187848751194219,0.1483373384932276,8,0.7453439697350389,0.5882737753447275,0.2065659691765395,0.2205820480400537,0.18409528047484613,0.2868699058812288,0.0012668723814525994,0.04677820536094779,227127000.0,1471801000,55366000.0,,0001591698,86.85121107266436,77.31958762886599,92.61083743842364,98.5,82.46268656716418,89.39393939393939,70.60931899641577,92.85714285714286,92.91338582677166,26.714801444043317,82.08539935076517,87.73898754218096,59.81409363540749
7,EXEL,Exelixis,Health Care,76.26939946103064,True,10,10,1.0,0.3160687675688041,0.06982290320334616,24,0.7084413372239421,0.4469477147349891,0.3759239799907419,0.17283080878512594,0.36207982255280224,0.3688695004638768,0.08750304790731955,0.05981153870969713,782570000.0,2320126000,262483000.0,,0000939767,93.77162629757785,55.32646048109966,89.65517241379311,92.0,95.1492537313433,83.71212121212122,93.9068100358423,96.2406015037594,85.8267716535433,23.104693140794225,74.54904338933875,91.77732648280988,54.465732397168765
8,DT,Dynatrace,Information Technology,74.5139355669163,True,10,10,1.0,0.22499343337797706,0.18820698152627657,9,0.8155933426047631,0.05811244210808808,0.12157579294753681,0.17624019187530163,0.06229211262967232,0.12802771815582134,0.0,0.00802648813652751,162669000.0,2018387000,294652951.0,,0001773383,88.23529411764706,83.8487972508591,96.55172413793103,35.5,54.1044776119403,84.84848484848484,25.806451612903224,57.5187969924812,96.85039370078741,49.81949458483754,86.04204568425308,59.054989200623446,73.33494414281247
9,NBIX,Neurocrine Biosciences,Health Care,74.20070934993916,True,6,10,1.0,0.5,0.21449496879378427,22,,,0.2164306939346268,,0.14712120746365007,0.1925471438132357,,0.04087890858431975,478600000.0,2860500000,100100000.0,,0000914475,98.96193771626297,87.2852233676976,,,83.5820895522388,,59.13978494623656,79.32330827067669,,30.324909747292423,93.12358054198029,74.01506092305068,30.324909747292423
10,BROS,Dutch Bros Inc.,Consumer Discretionary,73.36417666700243,True,7,10,1.0,0.3788531531536614,0.27879767215840556,7,,,0.09839093763181718,-0.028710854555053553,0.11727363260078318,0.20819862980101048,0.29402277848117997,,79842000.0,1638159000,154204000.0,,0001866581,95.50173010380622,90.72164948453609,,,43.656716417910445,17.045454545454543,46.59498207885305,82.33082706766918,70.4724409448819,,93.11168979417116,47.40699502747181,70.4724409448819
