rank,ticker,company,sector,score,sufficient_data,coverage,coverage_max,weight_coverage,revenue_cagr,revenue_yoy,revenue_years,gross_margin,gross_margin_trend,operating_margin,operating_margin_trend,roe,roic,debt_to_equity,share_change,net_income_latest,revenue_latest,shares_latest,exclude_reason,cik,score__revenue_cagr,score__revenue_yoy,score__gross_margin,score__gross_margin_trend,score__operating_margin,score__operating_margin_trend,score__roe,score__roic,score__debt_to_equity,score__share_change,bucket__growth,bucket__quality,bucket__balance
1,KRYS,Krystal Biotech,Health Care,86.84257635898894,True,5,10,1.0,,0.3394489096948523,5,,,0.41450158044869323,,0.16795483617042212,0.1751495512089181,0.0034881432647840206,,204831000.0,389130000,29192000.0,,0001711279,,91.15646258503402,,,95.97069597069597,,65.37102473498233,72.69372693726937,91.47286821705427,,91.15646258503402,78.01181588098257,91.47286821705427
2,MEDP,Medpace,Health Care,86.80038409150524,True,7,10,1.0,0.22032470377867552,0.19970090855900313,19,,,0.21141720489093105,0.18084189569841333,0.9826867739412858,,0.0,-0.013873128973012405,451123000.0,2530234000,28370780.0,,0001668397,86.94158075601375,84.01360544217688,,,81.68498168498168,86.56716417910447,100.0,,96.51162790697674,74.55197132616487,85.47759309909532,89.41738195469539,85.53179961657081
3,DUOL,Duolingo,Consumer Discretionary,86.01044771204658,True,8,10,0.8,0.4503246102127074,0.38710656342577243,6,0.7223062310799363,0.006710297970892176,0.13065867120796384,0.22967781824932543,0.30739655205693217,0.34479857831348576,,,414065000.0,1037589000,12794000.0,,0001562088,97.2508591065292,92.51700680272108,90.2439024390244,19.900497512437813,56.776556776556774,89.55223880597015,90.45936395759718,94.4649446494465,,,94.88393295462515,73.56625069017214,
4,NXT,Nextpower,Industrials,82.90897165177127,True,9,10,1.0,0.2438176032031829,0.20282292797674506,6,0.32592522876110797,0.13189904813637612,0.19589480219925323,0.06330133790424905,0.2509783040331186,0.4444334410987066,0.0,,585883000.0,3559390000,62053870.0,,0001852131,90.37800687285224,84.6938775510204,43.41463414634146,51.243781094527364,77.65567765567766,56.71641791044776,82.68551236749117,97.7859778597786,96.51162790697674,,87.53594221193632,68.25033350571067,96.51162790697674
5,VAL,Valaris,Energy,81.58416506166265,True,6,10,1.0,0.42220185627748985,0.23958333333333326,6,,,,,0.31007067137809186,0.10306602483452765,0.3426299848561333,-0.027336203548347315,982800000.0,11900000,69200000.0,,0000314808,96.90721649484536,87.75510204081633,,,,,90.81272084805654,49.07749077490775,63.565891472868216,88.17204301075269,92.33115926783084,69.94510581148215,75.86896724181045
6,APPF,AppFolio,Information Technology,79.59168807307816,True,8,10,1.0,0.27659977905518174,0.19720423771282358,10,,,0.16082610625332608,0.24059993990551481,0.2597280764644411,0.2501194235041523,0.0873144740212946,0.054658004428296714,140923000.0,950822000,36327000.0,,0001433195,92.09621993127148,83.33333333333334,,,68.4981684981685,90.67164179104478,84.45229681978799,87.82287822878229,85.27131782945736,25.089605734767034,87.7147766323024,82.8612463344459,55.1804617821122
7,PCTY,Paylocity,Industrials,78.66259180241663,True,10,10,1.0,0.20624443625417377,0.12200086832391066,9,0.7421159019040041,0.5850457075136927,0.23374220794713696,0.24775828681065118,0.22084267698910365,0.3206248902543785,0.0012796612459135578,0.04001295924734127,269741000.0,1651362000,53271000.0,,0001591698,86.25429553264605,69.72789115646259,92.6829268292683,98.50746268656717,85.71428571428571,91.4179104477612,77.3851590106007,92.98892988929889,92.24806201550388,31.18279569892472,77.99109334455432,89.782779096297,61.7154288572143
8,EXEL,Exelixis,Health Care,75.41043494549866,True,10,10,1.0,0.3160687675688041,0.06982290320334616,24,0.7084413372239421,0.4469477147349891,0.3759239799907419,0.17283080878512594,0.36207982255280224,0.3688695004638768,0.08750304790731955,0.05981153870969713,782570000.0,2320126000,262483000.0,,0000939767,93.12714776632302,52.721088435374156,89.75609756097562,92.53731343283582,94.87179487179486,82.83582089552239,93.99293286219081,95.5719557195572,84.88372093023256,23.655913978494624,72.92411810084859,91.59431922381278,54.26981745436359
9,CDE,Coeur Mining,Materials,74.37448961820525,True,10,10,1.0,0.14320219500353626,0.5,18,0.3265328468751779,0.12349120343222864,0.3415313850461276,0.39149218113999296,0.17683760376764499,0.18355669767680313,0.08554712861347441,0.14054207041536926,585872000.0,2070126000,642092761.0,,0000215466,77.31958762886599,97.27891156462584,44.390243902439025,48.756218905472636,94.13919413919413,94.77611940298507,68.55123674911661,76.01476014760148,85.65891472868216,13.620071684587813,87.29924959674591,71.10462887446816,49.63949320663499
10,DT,Dynatrace,Information Technology,73.97208726530911,True,10,10,1.0,0.22499343337797706,0.18820698152627657,9,0.8155933426047631,0.05811244210808808,0.12157579294753681,0.17624019187530163,0.06229211262967232,0.12802771815582134,0.0,0.00802648813652751,162669000.0,2018387000,294652951.0,,0001773383,87.97250859106529,82.31292517006803,96.58536585365853,35.32338308457712,54.57875457875458,83.95522388059702,24.73498233215548,57.564575645756456,96.51162790697674,49.820788530465954,85.14271688056667,58.790380895916535,73.16620821872135
