ticker,company,sector,sub_industry,cik
AA,Alcoa,Materials,Aluminum,0001675149
AAL,American Airlines Group,Industrials,Passenger Airlines,0000006201
AAON,AAON,Industrials,Building Products,0000824142
ACI,Albertsons,Consumer Staples,Food Retail,0001646972
ACM,AECOM,Industrials,Construction & Engineering,0000868857
ADC,Agree Realty,Real Estate,Retail REITs,0000917251
AEIS,Advanced Energy,Information Technology,Semiconductor Materials & Equipment,0000927003
AFG,American Financial Group,Financials,Multi-line Insurance,0001042046
AGCO,AGCO,Industrials,Agricultural & Farm Machinery,0000880266
AHR,American Healthcare REIT,Real Estate,Health Care REITs,0001632970
AIT,Applied Industrial Technologies,Industrials,Trading Companies & Distributors,0000109563
ALGM,Allegro MicroSystems,Information Technology,Semiconductors,0000866291
ALK,Alaska Air Group,Industrials,Passenger Airlines,0000766421
ALLY,Ally Financial,Financials,Consumer Finance,0000040729
ALV,Autoliv,Consumer Discretionary,Automotive Parts & Equipment,0001034670
AM,Antero Midstream,Energy,Oil & Gas Storage & Transportation,0001623925
AMG,Affiliated Managers Group,Financials,Asset Management & Custody Banks,0001004434
AMH,American Homes 4 Rent,Real Estate,Single-Family Residential REITs,0001562401
AMKR,Amkor Technology,Information Technology,Semiconductors,0001047127
AN,AutoNation,Consumer Discretionary,Automotive Retail,0000350698
ANF,Abercrombie & Fitch,Consumer Discretionary,Apparel Retail,0001018840
APG,APi Group,Industrials,Construction & Engineering,0001796209
APPF,AppFolio,Information Technology,Application Software,0001433195
AR,Antero Resources,Energy,Oil & Gas Exploration & Production,0001433270
ARMK,Aramark,Consumer Discretionary,Distributors,0001584509
ARW,Arrow Electronics,Information Technology,Technology Distributors,0000007536
ARWR,Arrowhead Pharmaceuticals,Health Care,Biotechnology,0000879407
ASB,Associated Bank,Financials,Regional Banks,0000007789
ASH,Ashland Global,Materials,Diversified Chemicals,0001674862
ATI,ATI Inc.,Industrials,Aerospace & Defense,0001018963
ATR,AptarGroup,Materials,"Metal, Glass & Plastic Containers",0000896622
AVAV,AeroVironment,Industrials,Aerospace & Defense,0001368622
AVNT,Avient,Materials,Specialty Chemicals,0001122976
AVT,Avnet,Information Technology,Technology Distributors,0000008858
AVTR,Avantor,Health Care,Life Sciences Tools & Services,0001722482
AXTA,Axalta,Materials,Specialty Chemicals,0001616862
AYI,Acuity Brands,Industrials,Electrical Components & Equipment,0001144215
BAH,Booz Allen Hamilton,Industrials,Research & Consulting Services,0001443646
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,0000701985
BC,Brunswick,Consumer Discretionary,Leisure Products,0000014930
